d_model,n_heads,d_ffn,batch_size,seq_len,nb_parameters,logrows,circuit_compilation_time,proof_size,proof_generation_time,proof_verification_time
4,1,16,1,2,244,15,5.8307061700033955,49092,6.7979632490023505,0.03355940300389193
4,1,32,1,1,388,15,3.412581049007713,29079,3.4978814119967865,0.0184108619869221
4,1,32,1,2,388,15,5.650236419998691,49066,6.51432353699056,0.023532944003818557
4,1,64,1,1,676,15,3.4558184649940813,29097,3.594899206989794,0.017122709003160708
4,1,64,1,2,676,15,5.7488225379929645,48990,7.07445306199952,0.0247777939948719
4,1,128,1,1,1252,16,6.40914753000834,29052,6.845432849004283,0.028591281006811187
4,1,128,1,2,1252,16,10.759298459001002,49061,12.603941313995165,0.04441110500192735
4,2,16,1,1,244,15,3.3906035819964018,29037,3.203042319000815,0.01644996200047899
4,2,16,1,2,244,15,5.818655714989291,49050,6.49448263499653,0.02566415299952496
4,2,32,1,1,388,15,3.4245497420051834,29117,3.838896105007734,0.020280281998566352
4,2,32,1,2,388,15,5.724186192004709,49057,6.733955504998448,0.024881880992325023
4,2,64,1,1,676,15,3.52794268100115,29053,3.5970627069909824,0.018662664006114937
4,2,64,1,2,676,15,5.972865971998544,49028,7.365505961992312,0.02482398100255523
4,2,128,1,1,1252,16,6.462324074993376,29178,6.612435557006393,0.029295009997440502
4,2,128,1,2,1252,16,10.5327506409958,49039,12.858163505996345,0.06265888598863967
4,4,16,1,1,244,15,3.188842464995105,29073,3.0852495730068767,0.017031688999850303
4,4,16,1,2,244,15,5.690867910001543,49091,6.555681426994852,0.025091272007557563
4,4,32,1,1,388,15,3.2194970940036,29147,3.2936977459903574,0.01681899699906353
4,4,32,1,2,388,15,5.689888891996816,49101,6.8324295909987995,0.024168101997929625
4,4,64,1,1,676,15,3.3561427380045643,29163,3.559087770001497,0.01680261800356675
4,4,64,1,2,676,15,5.8511683820106555,49080,7.574817550004809,0.025106692002736963
4,4,128,1,1,1252,16,6.242915646012989,29166,6.679395273007685,0.02830238400201779
4,4,128,1,2,1252,16,10.647556045994861,49055,13.060560440993868,0.042716020994703285
8,1,16,1,1,600,15,3.4152257079986157,30314,3.7054732340038754,0.01621549599803984
8,1,16,1,2,600,15,5.70939212400117,51514,6.914716507002595,0.024739239990594797
8,1,32,1,1,872,16,6.3365988839941565,30332,6.406634070008295,0.029555313987657428
8,1,32,1,2,872,16,10.208488176998799,51555,11.59745072798978,0.04362947201298084
8,1,64,1,1,1416,16,6.430807128010201,30362,6.9632400589907775,0.029666689995792694
8,1,64,1,2,1416,16,10.419829499005573,51499,12.665918548998889,0.044278275992837735
8,1,128,1,1,2504,17,12.700931031999062,30306,13.467134553997312,0.06756545700773131
8,1,128,1,2,2504,17,20.622248108993517,51491,23.715241604993935,0.08249166799942032
8,2,16,1,1,600,15,3.4984305649995804,30274,3.88191656798881,0.017176635999931023
8,2,16,1,2,600,15,5.87081051999121,51488,7.4644092280068435,0.02451614498568233
8,2,32,1,1,872,16,6.318023646992515,30387,6.546072421988356,0.03015773999504745
8,2,32,1,2,872,16,10.724781063996488,51388,12.170670459003304,0.045504584995796904
8,2,64,1,1,1416,16,6.527194349997444,30390,7.048767280008178,0.028471355995861813
8,2,64,1,2,1416,16,10.665751918000751,51435,13.355323601004784,0.0429607819969533
8,2,128,1,1,2504,17,12.793732238002121,30325,13.533763086001272,0.05848733500170056
8,2,128,1,2,2504,17,20.861282678000862,51512,24.137427395005943,0.14296723699953873
8,4,16,1,1,600,15,3.708175902007497,30354,3.9196115379891125,0.0169173390022479
8,4,16,1,2,600,15,6.404641707995324,51403,8.512923839996802,0.028176043997518718
8,4,32,1,1,872,16,6.377589859999716,30309,6.608193027001107,0.029306167998583987
8,4,32,1,2,872,16,11.052120716005447,51456,12.91984109999612,0.046210768006858416
8,4,64,1,1,1416,16,6.546772586996667,30355,7.1182194399880245,0.03010726100183092
8,4,64,1,2,1416,16,11.037543572994764,51485,13.964425112004392,0.04505706801137421
8,4,128,1,1,2504,17,12.873715606998303,30376,13.54703354499361,0.05641097300394904
8,4,128,1,2,2504,17,21.38378802999796,51481,24.962662748992443,0.12735604100453202
16,1,16,1,1,1696,17,12.640989871011698,32787,12.455282801005524,0.06221792499127332
